iter,variant_id,victim_idx,hot_keys,writers_per_key,payload_mib,kill_delay_s,read_rounds,settle_s,populate_parallel,post_populate_settle,duration_s,exit_code,baseline_fail,hot_fail,cold_fail,reproduced_strict,reproduced_hot_any,raw_tail
11,h18w28p24k0.62r3s10,2,18,28,24,0.62,3,10,6,8,134.0,0,0,0,0,0,0,"  hot keys: 3 rounds x 3 survivors x 18 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 162 / 162 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
12,h14w32p16k0.61r2s10,3,14,32,16,0.61,2,10,8,10,94.05,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 84 / 84 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
13,h14w36p16k0.86r3s10,0,14,36,16,0.86,3,10,6,10,110.89,0,0,0,0,0,0,"  hot keys: 3 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 126 / 126 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
14,h10w32p8k0.60r2s12,1,10,32,8,0.6,2,12,8,10,74.79,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 10 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 60 / 60 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
15,h14w36p12k0.45r2s8,2,14,36,12,0.45,2,8,6,8,91.04,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 84 / 84 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
16,h14w40p16k0.38r2s14,3,14,40,16,0.38,2,14,8,8,101.5,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 84 / 84 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
17,h14w24p8k0.60r2s8,0,14,24,8,0.6,2,8,6,8,83.96,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 84 / 84 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
18,h10w36p24k0.49r2s12,1,10,36,24,0.49,2,12,4,10,82.01,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 10 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 60 / 60 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
19,h12w36p24k0.64r3s14,2,12,36,24,0.64,3,14,6,8,105.83,0,0,0,0,0,0,"  hot keys: 3 rounds x 3 survivors x 12 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 108 / 108 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
20,h14w32p16k0.78r2s10,3,14,32,16,0.78,2,10,6,8,92.24,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 84 / 84 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
21,h18w36p8k0.74r1s10,0,18,36,8,0.74,1,10,6,8,103.05,0,0,0,0,0,0,"  hot keys: 1 rounds x 3 survivors x 18 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 54 / 54 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
22,h16w32p24k0.76r2s14,1,16,32,24,0.76,2,14,4,8,111.64,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 16 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 96 / 96 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
23,h14w32p20k0.85r2s14,2,14,32,20,0.85,2,14,4,6,97.01,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 84 / 84 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
24,h10w36p16k0.81r2s8,3,10,36,16,0.81,2,8,8,8,72.33,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 10 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 60 / 60 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
25,h12w24p24k0.70r2s10,0,12,24,24,0.7,2,10,8,6,82.17,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 12 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 72 / 72 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
26,h18w32p8k0.65r3s12,1,18,32,8,0.65,3,12,4,6,125.79,0,0,0,0,0,0,"  hot keys: 3 rounds x 3 survivors x 18 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 162 / 162 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
27,h16w40p24k0.47r2s14,2,16,40,24,0.47,2,14,6,8,148.98,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 16 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 96 / 96 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
28,h14w32p16k0.77r2s14,3,14,32,16,0.77,2,14,8,8,95.42,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 84 / 84 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
29,h18w24p8k0.61r3s10,0,18,24,8,0.61,3,10,8,6,117.39,0,0,0,0,0,0,"  hot keys: 3 rounds x 3 survivors x 18 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 162 / 162 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
30,h16w24p20k0.39r2s10,1,16,24,20,0.39,2,10,6,8,98.0,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 16 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 96 / 96 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
31,h14w24p16k0.82r1s8,2,14,24,16,0.82,1,8,8,10,73.51,0,0,0,0,0,0,"  hot keys: 1 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 42 / 42 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
32,h10w28p8k0.80r2s10,3,10,28,8,0.8,2,10,6,8,69.74,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 10 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 60 / 60 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
33,h12w40p16k0.54r1s10,0,12,40,16,0.54,1,10,8,8,74.51,0,0,0,0,0,0,"  hot keys: 1 rounds x 3 survivors x 12 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 36 / 36 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
34,h10w36p12k0.71r2s10,1,10,36,12,0.71,2,10,6,6,71.3,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 10 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 60 / 60 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
35,h14w28p16k0.62r2s10,2,14,28,16,0.62,2,10,6,10,93.37,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 84 / 84 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
36,h16w40p16k0.83r2s14,3,16,40,16,0.83,2,14,8,10,120.25,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 16 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 96 / 96 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
37,h14w28p16k0.41r1s14,0,14,28,16,0.41,1,14,6,8,80.85,0,0,0,0,0,0,"  hot keys: 1 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 42 / 42 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
38,h10w36p8k0.43r2s12,1,10,36,8,0.43,2,12,4,10,77.1,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 10 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 60 / 60 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
39,h10w32p16k0.86r2s10,2,10,32,16,0.86,2,10,4,8,73.52,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 10 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 60 / 60 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
40,h16w36p20k0.52r2s14,3,16,36,20,0.52,2,14,6,6,122.82,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 16 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 96 / 96 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.192' (ED25519) to the list of known hosts."
41,h14w32p16k0.68r1s10,0,14,32,16,0.68,1,10,4,10,81.54,0,0,0,0,0,0,"  hot keys: 1 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 42 / 42 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.189' (ED25519) to the list of known hosts."
42,h14w36p20k0.80r3s12,1,14,36,20,0.8,3,12,4,10,115.93,0,0,0,0,0,0,"  hot keys: 3 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 126 / 126 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.190' (ED25519) to the list of known hosts."
43,h14w28p12k0.69r2s14,2,14,28,12,0.69,2,14,6,10,94.33,0,0,0,0,0,0,"  hot keys: 2 rounds x 3 survivors x 14 keys
  cold keys (control): 1 round x 3 survivors x 8 keys

===============================================================
  RESULT
===============================================================
  HOT (contended): 84 / 84 ok    fail: 0   (0.0%)
  COLD (control):  24 / 24 ok    fail: 0   (0.0%)

  --> bug NOT triggered this run (likely the slow-path waiters drained
      before kill, or the victim's PUTs hadn't fanned out far enough).
      Try larger PAYLOAD_BYTES, larger WRITERS_PER_KEY, or tune KILL_DELAY.

Warning: Permanently added '192.168.2.191' (ED25519) to the list of known hosts."
